r [m],m,root_index,omega_real [rad/s],omega_imag [rad/s],omega_hat_real,omega_hat_imag,is_real
500000.0,-20,0,-0.0028183623231809465,0.0,-28.183623231809463,0.0,1
500000.0,-20,1,-8.965421479300281e-05,0.0,-0.8965421479300281,0.0,1
500000.0,-20,2,-1.0346549906075139e-05,0.0,-0.10346549906075139,0.0,1
500000.0,-20,3,-3.147586914017718e-07,-3.063194433219071e-05,-0.0031475869140177182,-0.3063194433219071,0
500000.0,-20,4,-3.147586914017718e-07,3.063194433219071e-05,-0.0031475869140177182,0.3063194433219071,0
500000.0,-20,5,1.0646182362869218e-05,0.0,0.10646182362869218,0.0,1
500000.0,-20,6,8.935454473272003e-05,0.0,0.8935454473272003,0.0,1
500000.0,-20,7,0.0028189918781672384,0.0,28.189918781672386,0.0,1
500000.0,-19,0,-0.002690526368159117,0.0,-26.90526368159117,0.0,1
500000.0,-19,1,-8.966063386281912e-05,0.0,-0.8966063386281912,0.0,1
500000.0,-19,2,-1.0340198113451626e-05,0.0,-0.10340198113451626,0.0,1
500000.0,-19,3,-3.281136821447702e-07,-3.063013850086784e-05,-0.003281136821447702,-0.30630138500867843,0
500000.0,-19,4,-3.281136821447702e-07,3.063013850086784e-05,-0.003281136821447702,0.30630138500867843,0
500000.0,-19,5,1.0652566139344398e-05,0.0,0.10652566139344398,0.0,1
500000.0,-19,6,8.934822322942689e-05,0.0,0.8934822322942688,0.0,1
500000.0,-19,7,0.002691182638130906,0.0,26.911826381309062,0.0,1
500000.0,-18,0,-0.0025633599796724893,0.0,-25.633599796724894,0.0,1
500000.0,-18,1,-8.966753129078493e-05,0.0,-0.8966753129078493,0.0,1
500000.0,-18,2,-1.0333376194276677e-05,0.0,-0.10333376194276678,0.0,1
500000.0,-18,3,-3.424547217734775e-07,-3.062806563456596e-05,-0.0034245472177347747,-0.3062806563456596,0
500000.0,-18,4,-3.424547217734775e-07,3.062806563456596e-05,-0.0034245472177347747,0.3062806563456596,0
500000.0,-18,5,1.065942387853749e-05,0.0,0.1065942387853749,0.0,1
500000.0,-18,6,8.934143514936351e-05,0.0,0.893414351493635,0.0,1
500000.0,-18,7,0.002564044937573197,0.0,25.640449375731972,0.0,1
500000.0,-17,0,-0.002436968033522011,0.0,-24.36968033522011,0.0,1
500000.0,-17,1,-8.967494252851336e-05,0.0,-0.8967494252851336,0.0,1
500000.0,-17,2,-1.0326049813856144e-05,0.0,-0.10326049813856143,0.0,1
500000.0,-17,3,-3.578530002858267e-07,-3.0625673129544365e-05,-0.003578530002858267,-0.3062567312954437,0
500000.0,-17,4,-3.578530002858267e-07,3.0625673129544365e-05,-0.003578530002858267,0.3062567312954437,0
500000.0,-17,5,1.066679041870299e-05,0.0,0.1066679041870299,0.0,1
500000.0,-17,6,8.933414661174928e-05,0.0,0.8933414661174928,0.0,1
500000.0,-17,7,0.0024376837948344994,0.0,24.376837948344996,0.0,1
500000.0,-16,0,-0.0023114776464569814,0.0,-23.114776464569815,0.0,1
500000.0,-16,1,-8.968289938240725e-05,0.0,-0.8968289938240726,0.0,1
500000.0,-16,2,-1.0318188368516596e-05,0.0,-0.10318188368516595,0.0,1
500000.0,-16,3,-3.743714808382509e-07,-3.062289566539574e-05,-0.0037437148083825094,-0.3062289566539574,0
