branch_id,radial_mode_n,category,m_min,m_max,valid_points_count
127,163,Poincare-like,1.0,30.000000000000025,581
128,134,Poincare-like,1.0,30.000000000000025,50
129,99,Poincare-like,1.0,30.000000000000025,581
130,78,Poincare-like,1.0,30.000000000000025,581
131,55,Poincare-like,1.0,30.000000000000025,254
132,20,Poincare-like,1.0,30.000000000000025,581
133,3,Poincare-like,1.0,30.000000000000025,581
134,28,Poincare-like,1.0,30.000000000000025,581
135,53,Poincare-like,1.0,30.000000000000025,581
136,80,Poincare-like,1.0,30.000000000000025,581
137,101,Poincare-like,1.0,30.000000000000025,581
138,132,Poincare-like,1.0,30.000000000000025,132
139,155,Poincare-like,1.0,30.000000000000025,581
140,194,Poincare-like,1.0,30.000000000000025,581
141,181,Poincare-like,1.0,30.000000000000025,581
142,160,Poincare-like,1.0,30.000000000000025,581
143,125,Poincare-like,1.0,30.000000000000025,581
144,94,Poincare-like,1.0,30.000000000000025,581
145,63,Poincare-like,1.0,30.000000000000025,581
146,46,Poincare-like,1.0,30.000000000000025,581
147,11,Poincare-like,1.0,30.000000000000025,581
148,20,Poincare-like,1.0,30.000000000000025,581
149,49,Poincare-like,1.0,30.000000000000025,581
150,78,Poincare-like,1.0,30.000000000000025,581
151,105,Poincare-like,1.0,30.000000000000025,581
152,132,Poincare-like,1.0,30.000000000000025,581
153,163,Poincare-like,1.0,30.000000000000025,581
154,192,Poincare-like,1.0,30.000000000000025,581
155,173,Poincare-like,1.0,30.000000000000025,581
156,132,Poincare-like,1.0,30.000000000000025,581
157,107,Poincare-like,1.0,30.000000000000025,581
158,78,Poincare-like,1.0,30.000000000000025,581
159,49,Poincare-like,1.0,30.000000000000025,581
160,22,Poincare-like,1.0,30.000000000000025,581
161,13,Poincare-like,1.0,30.000000000000025,581
162,46,Poincare-like,1.0,30.000000000000025,581
163,83,Poincare-like,1.0,30.000000000000025,581
164,118,Poincare-like,1.0,30.000000000000025,581
165,153,Poincare-like,1.0,30.000000000000025,581
166,188,Poincare-like,1.0,30.000000000000025,581
167,177,Poincare-like,1.0,30.000000000000025,581
168,138,Poincare-like,1.0,30.000000000000025,581
169,101,Poincare-like,1.0,30.000000000000025,581
170,56,Poincare-like,1.0,30.000000000000025,581
171,19,Poincare-like,1.0,30.000000000000025,581
172,22,Poincare-like,1.0,30.000000000000025,581
173,69,Poincare-like,1.0,30.000000000000025,581
174,116,Poincare-like,1.0,30.000000000000025,581
175,181,Poincare-like,1.0,30.000000000000025,581
176,152,Poincare-like,1.0,30.000000000000025,581
177,7,Poincare-like,1.0,30.000000000000025,581
178,26,Poincare-like,1.0,30.000000000000025,581
179,145,Poincare-like,1.0,30.000000000000025,581
180,182,Poincare-like,1.0,30.000000000000025,581
181,173,Poincare-like,1.0,30.000000000000025,581
182,150,Poincare-like,1.0,30.000000000000025,581
183,121,Poincare-like,1.0,30.000000000000025,581
184,102,Poincare-like,1.0,30.000000000000025,581
185,81,Poincare-like,1.0,30.000000000000025,581
186,68,Poincare-like,1.0,30.000000000000025,581
187,55,Poincare-like,1.0,30.000000000000025,581
188,52,Poincare-like,1.0,30.000000000000025,581
189,35,Poincare-like,1.0,30.000000000000025,581
190,24,Poincare-like,1.0,30.000000000000025,581
191,7,Poincare-like,1.0,30.000000000000025,581
192,14,Poincare-like,1.0,30.000000000000025,581
193,31,Poincare-like,1.0,30.000000000000025,581
194,96,Poincare-like,1.0,30.000000000000025,581
195,119,Poincare-like,1.0,30.000000000000025,581
196,136,Poincare-like,1.0,30.000000000000025,581
197,189,Poincare-like,1.0,30.000000000000025,581
198,196,Poincare-like,1.0,30.000000000000025,581
199,183,Poincare-like,1.0,30.000000000000025,581
200,128,Poincare-like,1.0,30.000000000000025,39
201,103,Poincare-like,1.0,30.000000000000025,10
202,7,Poincare-like,1.0,30.000000000000025,581
203,8,Poincare-like,1.0,30.000000000000025,581
204,9,Poincare-like,1.0,30.000000000000025,581
205,10,Poincare-like,1.0,30.000000000000025,581
206,11,Poincare-like,1.0,30.000000000000025,581
207,12,Poincare-like,1.0,30.000000000000025,581
208,13,Poincare-like,1.0,30.000000000000025,581
209,14,Poincare-like,1.0,30.000000000000025,581
210,15,Poincare-like,1.0,30.000000000000025,581
211,16,Poincare-like,1.0,30.000000000000025,581
212,17,Poincare-like,1.0,30.000000000000025,581
213,18,Poincare-like,1.0,30.000000000000025,581
214,19,Poincare-like,1.0,30.000000000000025,581
215,20,Poincare-like,1.0,30.000000000000025,425
216,20,Poincare-like,1.0,30.000000000000025,425
217,19,Poincare-like,1.0,30.000000000000025,581
218,18,Poincare-like,1.0,30.000000000000025,581
219,17,Poincare-like,1.0,30.000000000000025,581
220,16,Poincare-like,1.0,30.000000000000025,581
221,15,Poincare-like,1.0,30.000000000000025,581
222,14,Poincare-like,1.0,30.000000000000025,581
223,13,Poincare-like,1.0,30.000000000000025,581
224,12,Poincare-like,1.0,30.000000000000025,581
225,11,Poincare-like,1.0,30.000000000000025,581
226,10,Poincare-like,1.0,30.000000000000025,581
227,9,Poincare-like,1.0,30.000000000000025,581
228,8,Poincare-like,1.0,30.000000000000025,581
229,7,Poincare-like,1.0,30.000000000000025,581
230,99,Poincare-like,1.0,30.000000000000025,581
231,128,Poincare-like,1.0,30.000000000000025,581
232,183,Poincare-like,1.0,30.000000000000025,581
233,196,Poincare-like,1.0,30.000000000000025,581
234,189,Poincare-like,1.0,30.000000000000025,581
235,136,Poincare-like,1.0,30.000000000000025,581
236,119,Poincare-like,1.0,30.000000000000025,581
237,96,Poincare-like,1.0,30.000000000000025,581
238,31,Poincare-like,1.0,30.000000000000025,581
239,14,Poincare-like,1.0,30.000000000000025,581
240,7,Poincare-like,1.0,30.000000000000025,581
241,24,Poincare-like,1.0,30.000000000000025,581
242,35,Poincare-like,1.0,30.000000000000025,581
243,52,Poincare-like,1.0,30.000000000000025,581
244,55,Poincare-like,1.0,30.000000000000025,581
245,68,Poincare-like,1.0,30.000000000000025,581
246,81,Poincare-like,1.0,30.000000000000025,581
247,102,Poincare-like,1.0,30.000000000000025,581
248,121,Poincare-like,1.0,30.000000000000025,581
249,150,Poincare-like,1.0,30.000000000000025,581
250,173,Poincare-like,1.0,30.000000000000025,581
251,182,Poincare-like,1.0,30.000000000000025,581
252,145,Poincare-like,1.0,30.000000000000025,581
253,26,Poincare-like,1.0,30.000000000000025,581
254,5,Poincare-like,1.0,30.000000000000025,581
255,152,Poincare-like,1.0,30.000000000000025,581
256,181,Poincare-like,1.0,30.000000000000025,581
257,116,Poincare-like,1.0,30.000000000000025,581
258,69,Poincare-like,1.0,30.000000000000025,581
259,22,Poincare-like,1.0,30.000000000000025,581
260,19,Poincare-like,1.0,30.000000000000025,581
261,56,Poincare-like,1.0,30.000000000000025,581
262,101,Poincare-like,1.0,30.000000000000025,581
263,138,Poincare-like,1.0,30.000000000000025,581
264,177,Poincare-like,1.0,30.000000000000025,581
265,188,Poincare-like,1.0,30.000000000000025,581
266,153,Poincare-like,1.0,30.000000000000025,581
267,118,Poincare-like,1.0,30.000000000000025,581
268,83,Poincare-like,1.0,30.000000000000025,581
269,46,Poincare-like,1.0,30.000000000000025,581
270,13,Poincare-like,1.0,30.000000000000025,581
271,22,Poincare-like,1.0,30.000000000000025,581
272,49,Poincare-like,1.0,30.000000000000025,581
273,78,Poincare-like,1.0,30.000000000000025,581
274,107,Poincare-like,1.0,30.000000000000025,581
275,132,Poincare-like,1.0,30.000000000000025,581
276,173,Poincare-like,1.0,30.000000000000025,581
277,192,Poincare-like,1.0,30.000000000000025,581
278,163,Poincare-like,1.0,30.000000000000025,581
279,132,Poincare-like,1.0,30.000000000000025,581
280,105,Poincare-like,1.0,30.000000000000025,581
281,78,Poincare-like,1.0,30.000000000000025,581
282,49,Poincare-like,1.0,30.000000000000025,581
283,20,Poincare-like,1.0,30.000000000000025,581
284,11,Poincare-like,1.0,30.000000000000025,581
285,46,Poincare-like,1.0,30.000000000000025,581
286,63,Poincare-like,1.0,30.000000000000025,581
287,94,Poincare-like,1.0,30.000000000000025,581
288,125,Poincare-like,1.0,30.000000000000025,581
289,160,Poincare-like,1.0,30.000000000000025,581
290,181,Poincare-like,1.0,30.000000000000025,581
291,194,Poincare-like,1.0,30.000000000000025,581
292,155,Poincare-like,1.0,30.000000000000025,581
293,132,Poincare-like,1.0,30.000000000000025,132
294,101,Poincare-like,1.0,30.000000000000025,581
295,80,Poincare-like,1.0,30.000000000000025,581
296,53,Poincare-like,1.0,30.000000000000025,581
297,28,Poincare-like,1.0,30.000000000000025,581
298,3,Poincare-like,1.0,30.000000000000025,581
299,20,Poincare-like,1.0,30.000000000000025,581
300,55,Poincare-like,1.0,30.000000000000025,262
301,78,Poincare-like,1.0,30.000000000000025,581
302,99,Poincare-like,1.0,30.000000000000025,581
303,134,Poincare-like,1.0,30.000000000000025,50
304,163,Poincare-like,1.0,30.000000000000025,581
305,190,Poincare-like,1.0,30.000000000000025,581
306,179,Poincare-like,1.0,30.000000000000025,581
307,156,Poincare-like,1.0,30.000000000000025,581
308,131,Poincare-like,1.0,30.000000000000025,581
309,100,Poincare-like,1.0,30.000000000000025,581
310,69,Poincare-like,1.0,30.000000000000025,581
311,56,Poincare-like,1.0,30.000000000000025,581
312,31,Poincare-like,1.0,30.000000000000025,581
313,6,Poincare-like,1.0,30.000000000000025,581
314,27,Poincare-like,1.0,30.000000000000025,581
315,60,Poincare-like,1.0,30.000000000000025,581
316,89,Poincare-like,1.0,30.000000000000025,581
317,106,Poincare-like,1.0,30.000000000000025,581
318,135,Poincare-like,1.0,30.000000000000025,581
319,158,Poincare-like,1.0,30.000000000000025,581
320,0,Kelvin/slow,1.0,30.000000000000025,581
321,186,Poincare-like,1.0,30.000000000000025,581
322,157,Poincare-like,1.0,30.000000000000025,581
323,130,Poincare-like,1.0,30.000000000000025,581
324,101,Poincare-like,1.0,30.000000000000025,581
325,84,Poincare-like,1.0,30.000000000000025,581
326,59,Poincare-like,1.0,30.000000000000025,581
327,28,Poincare-like,1.0,30.000000000000025,581
328,15,Poincare-like,1.0,30.000000000000025,19
329,26,Poincare-like,1.0,30.000000000000025,581
330,49,Poincare-like,1.0,30.000000000000025,581
331,70,Poincare-like,1.0,30.000000000000025,581
332,91,Poincare-like,1.0,30.000000000000025,581
333,124,Poincare-like,1.0,30.000000000000025,581
334,147,Poincare-like,1.0,30.000000000000025,581
335,174,Poincare-like,1.0,30.000000000000025,581
336,195,Poincare-like,1.0,30.000000000000025,581
337,170,Poincare-like,1.0,30.000000000000025,581
338,145,Poincare-like,1.0,30.000000000000025,581
339,116,Poincare-like,1.0,30.000000000000025,581
340,95,Poincare-like,1.0,30.000000000000025,581
341,68,Poincare-like,1.0,30.000000000000025,581
342,55,Poincare-like,1.0,30.000000000000025,581
343,14,Poincare-like,1.0,30.000000000000025,581
344,13,Poincare-like,1.0,30.000000000000025,581
345,34,Poincare-like,1.0,30.000000000000025,581
346,61,Poincare-like,1.0,30.000000000000025,581
347,84,Poincare-like,1.0,30.000000000000025,581
348,107,Poincare-like,1.0,30.000000000000025,581
349,134,Poincare-like,1.0,30.000000000000025,581
350,157,Poincare-like,1.0,30.000000000000025,581
