omega_rad_s,hat_omega,sigma_rel
-0.00165,-5.0,0.02090141153275464
-0.0016458545569837395,-4.987438051465877,0.020838456320197273
-0.001641709113967479,-4.974876102931755,0.020775470644828598
-0.0016375636709512183,-4.962314154397631,0.02071245425792746
-0.0016334182279349578,-4.949752205863509,0.020649406907901683
-0.0016292727849186973,-4.9371902573293855,0.02058632834024619
-0.0016251273419024368,-4.924628308795263,0.0205232182975007
-0.001620981898886176,-4.912066360261139,0.02046007651920651
-0.0016168364558699156,-4.899504411727017,0.0203969027418626
-0.001612691012853655,-4.886942463192894,0.020333696698880833
-0.0016085455698373946,-4.874380514658771,0.02027045812054054
-0.0016044001268211339,-4.861818566124648,0.02020718673394205
-0.0016002546838048734,-4.849256617590525,0.020143882262959715
-0.0015961092407886129,-4.836694669056403,0.020080544428193813
-0.0015919637977723524,-4.82413272052228,0.02001717294692161
-0.0015878183547560916,-4.811570771988157,0.01995376753304778
-0.0015836729117398311,-4.799008823454034,0.019890327897053688
-0.0015795274687235706,-4.786446874919911,0.019826853745945817
-0.0015753820257073101,-4.773884926385788,0.01976334478320329
-0.0015712365826910494,-4.761322977851665,0.019699800708724406
-0.001567091139674789,-4.748761029317542,0.01963622121877218
-0.0015629456966585284,-4.736199080783419,0.019572606005918963
-0.001558800253642268,-4.723637132249297,0.019508954758989946
-0.0015546548106260072,-4.711075183715174,0.019445267163005722
-0.0015505093676097467,-4.698513235181051,0.019381542899123635
-0.0015463639245934862,-4.685951286646928,0.019317781644578216
-0.0015422184815772257,-4.6733893381128055,0.01925398307262035
-0.001538073038560965,-4.660827389578682,0.019190146852455455
-0.0015339275955447045,-4.648265441044559,0.019126272649180404
-0.001529782152528444,-4.635703492510436,0.019062360123719205
-0.0015256367095121835,-4.623141543976313,0.018998408932757702
-0.0015214912664959228,-4.61057959544219,0.018934418728676766
-0.0015173458234796623,-4.598017646908068,0.01887038915948433
-0.0015132003804634018,-4.585455698373945,0.018806319868746302
-0.0015090549374471413,-4.572893749839822,0.018742210495515745
-0.0015049094944308806,-4.560331801305699,0.01867806067426121
-0.00150076405141462,-4.547769852771576,0.018613870034793256
-0.0014966186083983596,-4.535207904237454,0.018549638202189845
-0.001492473165382099,-4.5226459557033305,0.01848536479672011
-0.0014883277223658384,-4.510084007169207,0.018421049433766767
-0.0014841822793495779,-4.497522058635084,0.01835669172374702
-0.0014800368363333174,-4.484960110100962,0.018292291272031736
-0.0014758913933170569,-4.472398161566839,0.018227847678863388
-0.0014717459503007962,-4.459836213032716,0.01816336053927188
-0.0014676005072845357,-4.447274264498593,0.018098829442989496
-0.0014634550642682752,-4.43471231596447,0.018034253974363153
-0.0014593096212520147,-4.422150367430348,0.017969633712265873
-0.001455164178235754,-4.409588418896224,0.017904968230005796
-0.0014510187352194935,-4.397026470362102,0.017840257095233902
-0.001446873292203233,-4.3844645218279785,0.017775499869849488
-0.0014427278491869725,-4.371902573293856,0.017710696109904014
-0.001438582406170712,-4.359340624759733,0.017645845365502816
-0.0014344369631544512,-4.34677867622561,0.017580947180705065
-0.0014302915201381907,-4.334216727691487,0.01751600109342151
-0.0014261460771219303,-4.321654779157364,0.017451006635310184
-0.0014220006341056695,-4.309092830623241,0.017385963331670088
-0.001417855191089409,-4.296530882089118,0.017320870701332605
-0.0014137097480731485,-4.283968933554996,0.017255728256550664
-0.001409564305056888,-4.271406985020873,0.017190535502885802
-0.0014054188620406275,-4.2588450364867505,0.01712529193909265
-0.0014012734190243668,-4.2462830879526265,0.017059997057001276
-0.0013971279760081063,-4.233721139418504,0.016994650341396855
-0.0013929825329918458,-4.221159190884381,0.01692925126989708
-0.0013888370899755851,-4.208597242350258,0.01686379931282681
-0.0013846916469593246,-4.196035293816135,0.016798293933090166
-0.0013805462039430641,-4.183473345282012,0.01673273458604004
-0.0013764007609268036,-4.17091139674789,0.016667120719344647
-0.0013722553179105431,-4.158349448213767,0.01660145177285149
-0.0013681098748942824,-4.145787499679644,0.01653572717844829
-0.001363964431878022,-4.133225551145521,0.016469946359920946
-0.0013598189888617614,-4.1206636026113985,0.016404108732808644
-0.0013556735458455007,-4.108101654077275,0.016338213704255616
-0.0013515281028292402,-4.095539705543152,0.016272260672859987
-0.0013473826598129797,-4.082977757009029,0.016206249028519127
-0.0013432372167967192,-4.070415808474906,0.01614017815227181
-0.0013390917737804587,-4.057853859940784,0.01607404741613698
-0.001334946330764198,-4.045291911406661,0.0160078561829488
-0.0013308008877479375,-4.032729962872538,0.01594160380618844
-0.001326655444731677,-4.020168014338415,0.015875289629811908
-0.0013225100017154163,-4.007606065804292,0.015808912988074252
-0.0013183645586991558,-3.995044117270169,0.01574247320534988
-0.0013142191156828953,-3.982482168736046,0.015675969595948813
-0.0013100736726666348,-3.9699202202019235,0.015609401463929074
-0.0013059282296503743,-3.957358271667801,0.015542768102904676
-0.0013017827866341136,-3.9447963231336773,0.015476068795849602
-0.001297637343617853,-3.9322343745995547,0.015409302814897193
-0.0012934919006015926,-3.919672426065432,0.01534246942113512
-0.0012893464575853318,-3.9071104775313086,0.015275567864395751
-0.0012852010145690713,-3.894548528997186,0.01520859738304188
-0.0012810555715528108,-3.8819865804630633,0.015141557203747432
-0.0012769101285365504,-3.8694246319289403,0.015074446541273427
-0.0012727646855202899,-3.8568626833948176,0.015007264598238609
-0.0012686192425040291,-3.8443007348606946,0.01494001056488509
-0.0012644737994877686,-3.8317387863265715,0.014872683618838452
-0.0012603283564715081,-3.819176837792449,0.01480528292486245
-0.0012561829134552474,-3.8066148892583254,0.01473780763460806
-0.001252037470438987,-3.7940529407242027,0.014670256886356686
-0.0012478920274227264,-3.78149099219008,0.014602629804757516
-0.001243746584406466,-3.7689290436559575,0.014534925500558729
-0.0012396011413902054,-3.756367095121835,0.014467143070332457
-0.001235455698373945,-3.743805146587712,0.014399281596193383
-0.0012313102553576842,-3.7312431980535887,0.014331340145510593
-0.0012271648123414237,-3.7186812495194657,0.014263317770613019
-0.0012230193693251632,-3.706119300985343,0.01419521350848751
-0.0012188739263089025,-3.6935573524512195,0.014127026380470082
-0.001214728483292642,-3.680995403917097,0.014058755391929835
-0.0012105830402763815,-3.6684334553829743,0.013990399531945284
-0.001206437597260121,-3.6558715068488516,0.013921957772972999
-0.0012022921542438605,-3.643309558314729,0.013853429070508398
-0.0011981467112275998,-3.6307476097806055,0.01378481236273848
-0.0011940012682113393,-3.618185661246483,0.01371610657018609
-0.0011898558251950788,-3.60562371271236,0.013647310595345694
-0.001185710382178818,-3.5930617641782367,0.0135784233223105
-0.0011815649391625576,-3.580499815644114,0.013509443616390346
-0.001177419496146297,-3.567937867109991,0.01344037032372052
-0.0011732740531300366,-3.5553759185758684,0.013371202270861018
-0.001169128610113776,-3.542813970041746,0.01330193826438599
-0.0011649831670975154,-3.5302520215076223,0.013232577090463266
-0.0011608377240812549,-3.5176900729734997,0.0131631175144236
-0.0011566922810649942,-3.505128124439376,0.013093558280319164
-0.0011525468380487337,-3.4925661759052535,0.013023898110471496
-0.0011484013950324732,-3.480004227371131,0.012954135705008085
-0.0011442559520162127,-3.4674422788370083,0.012884269741387523
-0.0011401105089999522,-3.454880330302885,0.012814298873913091
-0.0011359650659836917,-3.4423183817687626,0.01274422173323405
-0.001131819622967431,-3.429756433234639,0.012674036925834792
-0.0011276741799511705,-3.4171944847005165,0.012603743033510952
-0.0011235287369349097,-3.404632536166393,0.012533338612832776
-0.0011193832939186492,-3.3920705876322703,0.012462822194594797
-0.0011152378509023887,-3.3795086390981477,0.012392192283252026
-0.0011110924078861282,-3.366946690564025,0.012321447356341617
-0.0011069469648698677,-3.3543847420299024,0.012250585863890396
