m,root_index,real_omega,imag_omega,real_omega_over_Omega,imag_omega_over_Omega,abs_residual,normalized_residual,root_class
2,5,3.062760252658862829e-07,-2.803730474251674653e-05,6.125520505317725781e-03,-5.607460948503348863e-01,1.662509150949151225e-47,7.487275592714637142e-32,complex_damped
2,6,-8.836899507730394026e-06,0.000000000000000000e+00,-1.767379901546078658e-01,0.000000000000000000e+00,1.111870119398353389e-48,5.007417855406813218e-33,real_negative
2,7,8.598782861318581932e-06,0.000000000000000000e+00,1.719756572263716199e-01,0.000000000000000000e+00,1.710569414459005214e-49,7.703719777548943412e-34,real_positive
3,0,-9.290054600354571025e-04,0.000000000000000000e+00,-1.858010920070914196e+01,0.000000000000000000e+00,3.068234439811792199e-40,1.381809941015879408e-24,real_negative
3,1,9.281331834022737677e-04,0.000000000000000000e+00,1.856266366804547374e+01,0.000000000000000000e+00,1.500862244332443607e-40,6.759282610456373263e-25,real_positive
3,2,-9.111379776967637597e-05,0.000000000000000000e+00,-1.822275955393527491e+00,0.000000000000000000e+00,1.536091334184186682e-45,6.917940360238920356e-30,real_negative
3,3,9.145276504932818736e-05,0.000000000000000000e+00,1.829055300986563770e+00,0.000000000000000000e+00,6.723393083531119992e-46,3.027947058565598195e-30,real_positive
3,4,4.360949068918967800e-07,2.804654402415197924e-05,8.721898137837936008e-03,5.609308804830395179e-01,1.745788039497975899e-48,7.862330364150953010e-33,complex_unstable
3,5,4.360949068918967800e-07,-2.804654402415197924e-05,8.721898137837936008e-03,-5.609308804830395179e-01,1.745788039497975899e-48,7.862330364150953010e-33,complex_damped
3,6,-8.887389239996677684e-06,0.000000000000000000e+00,-1.777477847999335558e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,real_negative
3,7,8.548508779744653087e-06,0.000000000000000000e+00,1.709701755948930535e-01,0.000000000000000000e+00,2.565854121688507820e-49,1.155557966632341512e-33,real_positive
4,0,9.603322975791464848e-04,0.000000000000000000e+00,1.920664595158292798e+01,0.000000000000000000e+00,8.787082558253972547e-40,3.957350147475233218e-24,real_positive
