========================================================================================================================
                                 SWMHD VARIABLE-DEPTH BRANCH CLASSIFICATION REPORT
========================================================================================================================
Parameters: Omega=5.0e-05 rad/s, H0=500.0 m, g=9.81 m/s^2, B0=5.0e-04 T, rho0=1000.0 kg/m^3, C=0.0
Domain: r1=5.0e+05 m, r2=1.0e+06 m, N_col=64
------------------------------------------------------------------------------------------------------------------------
  m |   omega [s^-1] |  hat_omega |       Branch |   n | WKB Pred [s^-1] | Abs Error [s^-1] |  ODE L2 Residual
------------------------------------------------------------------------------------------------------------------------
  1 |   1.332430e-03 |    13.3243 |          MP+ |   1 |   4.593229e-04 |    8.731073e-04 |     3.735540e-15
  2 |   5.105181e-04 |     5.1052 |          MP+ |   1 |   4.864706e-04 |    2.404748e-05 |     4.148122e-14
  3 |   5.649036e-04 |     5.6490 |          MP+ |   1 |   5.290248e-04 |    3.587879e-05 |     7.985294e-15
  4 |   9.819773e-04 |     9.8198 |          MP+ |   1 |   5.836238e-04 |    3.983535e-04 |     1.294681e-14
  5 |   7.097703e-04 |     7.0977 |          MP+ |   1 |   6.472127e-04 |    6.255765e-05 |     1.151217e-14
  6 |   1.085419e-03 |    10.8542 |          MP+ |   1 |   7.173908e-04 |    3.680278e-04 |     6.853210e-15
  7 |   8.793200e-04 |     8.7932 |          MP+ |   1 |   9.207530e-04 |    4.143303e-05 |     4.397653e-15
  8 |   9.671028e-04 |     9.6710 |          MP+ |   1 |   1.004861e-03 |    3.775828e-05 |     3.820194e-15
  9 |   1.054865e-03 |    10.5487 |          MP+ |   1 |   1.088338e-03 |    3.347273e-05 |     4.066639e-15
 10 |   1.141796e-03 |    11.4180 |          MP+ |   1 |   1.171311e-03 |    2.951419e-05 |     5.553939e-15
 11 |   1.460800e-03 |    14.6080 |          MP+ |   1 |   1.253811e-03 |    2.069892e-04 |     5.356460e-15
 12 |   1.548006e-03 |    15.4801 |          MP+ |   1 |   1.335862e-03 |    2.121435e-04 |     6.946328e-15
 13 |   1.636537e-03 |    16.3654 |          MP+ |   1 |   1.417592e-03 |    2.189446e-04 |     2.840680e-15
 14 |   1.725387e-03 |    17.2539 |          MP+ |   1 |   1.499095e-03 |    2.262915e-04 |     1.881936e-15
 15 |   1.560178e-03 |    15.6018 |          MP+ |   1 |   1.580207e-03 |    2.002829e-05 |     8.511314e-16
 16 |   1.641641e-03 |    16.4164 |          MP+ |   1 |   1.661155e-03 |    1.951497e-05 |     1.202953e-15
 17 |   1.987868e-03 |    19.8787 |          MP+ |   1 |   1.741833e-03 |    2.460351e-04 |     1.442657e-15
 18 |   1.803457e-03 |    18.0346 |          MP+ |   1 |   1.822230e-03 |    1.877284e-05 |     1.789853e-15
 19 |   1.883946e-03 |    18.8395 |          MP+ |   1 |   1.902510e-03 |    1.856344e-05 |     5.561668e-16
 20 |   2.241716e-03 |    22.4172 |          MP+ |   1 |   1.982522e-03 |    2.591946e-04 |     1.396462e-15
 21 |   2.324933e-03 |    23.2493 |          MP+ |   1 |   2.062426e-03 |    2.625078e-04 |     2.949729e-16
 22 |   2.124175e-03 |    21.2417 |          MP+ |   1 |   2.142158e-03 |    1.798255e-05 |     1.155914e-15
 23 |   2.203908e-03 |    22.0391 |          MP+ |   1 |   2.221786e-03 |    1.787845e-05 |     7.133724e-16
 24 |   2.283492e-03 |    22.8349 |          MP+ |   1 |   2.301252e-03 |    1.775922e-05 |     1.296620e-15
 25 |   2.362939e-03 |    23.6294 |          MP+ |   1 |   2.380457e-03 |    1.751860e-05 |     3.533539e-16
 26 |   2.442256e-03 |    24.4226 |          MP+ |   1 |   2.459756e-03 |    1.750017e-05 |     2.692410e-15
 27 |   2.521451e-03 |    25.2145 |          MP+ |   1 |   2.538797e-03 |    1.734654e-05 |     6.790960e-16
 28 |   2.600531e-03 |    26.0053 |          MP+ |   1 |   2.617774e-03 |    1.724336e-05 |     7.438945e-16
 29 |   2.679502e-03 |    26.7950 |          MP+ |   1 |   2.696697e-03 |    1.719539e-05 |     2.013890e-16
 30 |   2.758370e-03 |    27.5837 |          MP+ |   1 |   2.775329e-03 |    1.695918e-05 |     5.652194e-16
  1 |   1.770478e-03 |    17.7048 |          MP+ |   2 |   8.900556e-04 |    8.804219e-04 |     3.446876e-15
  2 |   9.150973e-04 |     9.1510 |          MP+ |   2 |   9.044814e-04 |    1.061589e-05 |     5.656152e-15
  3 |   9.435741e-04 |     9.4357 |          MP+ |   2 |   9.281332e-04 |    1.544088e-05 |     5.792100e-15
  4 |   1.388803e-03 |    13.8880 |          MP+ |   2 |   9.603323e-04 |    4.284702e-04 |     3.490753e-15
  5 |   1.029527e-03 |    10.2953 |          MP+ |   2 |   1.000255e-03 |    2.927212e-05 |     3.658266e-15
  6 |   1.460321e-03 |    14.6032 |          MP+ |   2 |   1.047018e-03 |    4.133022e-04 |     4.516228e-15
  7 |   1.505289e-03 |    15.0529 |          MP+ |   2 |   1.489578e-03 |    1.571023e-05 |     1.711657e-15
  8 |   1.555935e-03 |    15.5593 |          MP+ |   2 |   1.537648e-03 |    1.828727e-05 |     1.616751e-15
  9 |   1.611939e-03 |    16.1194 |          MP+ |   2 |   1.590588e-03 |    2.135084e-05 |     2.215146e-15
 10 |   1.673013e-03 |    16.7301 |          MP+ |   2 |   1.647955e-03 |    2.505816e-05 |     1.188177e-15
 11 |   1.738904e-03 |    17.3890 |          MP+ |   2 |   1.709255e-03 |    2.964957e-05 |     5.977824e-15
 12 |   1.809375e-03 |    18.0937 |          MP+ |   2 |   1.585313e-03 |    2.240616e-04 |     2.989949e-15
 13 |   1.884166e-03 |    18.8417 |          MP+ |   2 |   1.670194e-03 |    2.139712e-04 |     4.231310e-15
 14 |   1.962943e-03 |    19.6294 |          MP+ |   2 |   1.754673e-03 |    2.082703e-04 |     3.407892e-15
 15 |   1.813811e-03 |    18.1381 |          MP+ |   2 |   1.838863e-03 |    2.505218e-05 |     1.496050e-15
 16 |   1.901364e-03 |    19.0136 |          MP+ |   2 |   1.922705e-03 |    2.134067e-05 |     3.301062e-15
 17 |   2.217728e-03 |    22.1773 |          MP+ |   2 |   2.006179e-03 |    2.115490e-04 |     3.400321e-15
 18 |   2.073340e-03 |    20.7334 |          MP+ |   2 |   2.089294e-03 |    1.595425e-05 |     1.034228e-15
 19 |   2.157903e-03 |    21.5790 |          MP+ |   2 |   2.172230e-03 |    1.432792e-05 |     5.894391e-16
 20 |   2.484336e-03 |    24.8434 |          MP+ |   2 |   2.254840e-03 |    2.294967e-04 |     3.825510e-15
 21 |   2.572652e-03 |    25.7265 |          MP+ |   2 |   2.337279e-03 |    2.353731e-04 |     1.511681e-15
 22 |   2.407680e-03 |    24.0768 |          MP+ |   2 |   2.419576e-03 |    1.189578e-05 |     3.615539e-16
 23 |   2.490053e-03 |    24.9005 |          MP+ |   2 |   2.501553e-03 |    1.150003e-05 |     4.893987e-16
 24 |   2.572124e-03 |    25.7212 |          MP+ |   2 |   2.583406e-03 |    1.128237e-05 |     1.749618e-16
 25 |   2.653944e-03 |    26.5394 |          MP+ |   2 |   2.664952e-03 |    1.100786e-05 |     4.806883e-16
 26 |   2.735549e-03 |    27.3555 |          MP+ |   2 |   2.746567e-03 |    1.101786e-05 |     2.584995e-16
 27 |   2.816966e-03 |    28.1697 |          MP+ |   2 |   2.827877e-03 |    1.091071e-05 |     1.695336e-15
 28 |   2.898213e-03 |    28.9821 |          MP+ |   2 |   2.908884e-03 |    1.067117e-05 |     1.027160e-15
 29 |   2.979304e-03 |    29.7930 |          MP+ |   2 |   2.989970e-03 |    1.066598e-05 |     2.506098e-15
 30 |   3.060251e-03 |    30.6025 |          MP+ |   2 |   3.070784e-03 |    1.053317e-05 |     5.288716e-16
  1 |   2.209622e-03 |    22.0962 |          MP+ |   3 |   1.766159e-03 |    4.434632e-04 |     3.329277e-15
  2 |   1.779095e-03 |    17.7909 |          MP+ |   3 |   1.774150e-03 |    4.945153e-06 |     4.195010e-15
  3 |   1.793178e-03 |    17.9318 |          MP+ |   3 |   1.787546e-03 |    5.632511e-06 |     2.372332e-15
  4 |   1.812624e-03 |    18.1262 |          MP+ |   3 |   1.806238e-03 |    6.386103e-06 |     2.296610e-15
  5 |   1.837295e-03 |    18.3730 |          MP+ |   3 |   1.830082e-03 |    7.213434e-06 |     3.317039e-15
  6 |   1.867025e-03 |    18.6703 |          MP+ |   3 |   1.858901e-03 |    8.124582e-06 |     2.490694e-15
  7 |   1.901629e-03 |    19.0163 |          MP+ |   3 |   1.892496e-03 |    9.132966e-06 |     2.036274e-15
  8 |   1.940908e-03 |    19.4091 |          MP+ |   3 |   1.930652e-03 |    1.025639e-05 |     1.674077e-15
  9 |   1.984660e-03 |    19.8466 |          MP+ |   3 |   1.973142e-03 |    1.151840e-05 |     5.446916e-15
 10 |   2.032685e-03 |    20.3269 |          MP+ |   3 |   2.019735e-03 |    1.295016e-05 |     2.558803e-15
 11 |   2.084795e-03 |    20.8479 |          MP+ |   3 |   2.070202e-03 |    1.459279e-05 |     7.368817e-15
 12 |   2.140815e-03 |    21.4082 |          MP+ |   3 |   2.124315e-03 |    1.650070e-05 |     4.656963e-15
 13 |   2.200597e-03 |    22.0060 |          MP+ |   3 |   2.181851e-03 |    1.874588e-05 |     2.661225e-15
 14 |   2.264014e-03 |    22.6401 |          MP+ |   3 |   2.242589e-03 |    2.142449e-05 |     3.305876e-15
 15 |   2.330965e-03 |    23.3097 |          MP+ |   3 |   2.306296e-03 |    2.466900e-05 |     3.694892e-15
 16 |   2.401371e-03 |    24.0137 |          MP+ |   3 |   2.372692e-03 |    2.867937e-05 |     1.134612e-15
 17 |   2.475153e-03 |    24.7515 |          MP+ |   3 |   2.441316e-03 |    3.383687e-05 |     2.406055e-15
 18 |   2.306319e-03 |    23.0632 |          MP+ |   3 |   2.339306e-03 |    3.298739e-05 |     1.971615e-15
 19 |   2.395406e-03 |    23.9541 |          MP+ |   3 |   2.424179e-03 |    2.877276e-05 |     5.038381e-15
 20 |   2.715364e-03 |    27.1536 |          MP+ |   3 |   2.508835e-03 |    2.065292e-04 |     1.725585e-15
 21 |   2.800773e-03 |    28.0077 |          MP+ |   3 |   2.593101e-03 |    2.076720e-04 |     1.765112e-15
 22 |   2.660109e-03 |    26.6011 |          MP+ |   3 |   2.677194e-03 |    1.708582e-05 |     2.148979e-15
 23 |   2.746637e-03 |    27.4664 |          MP+ |   3 |   2.761127e-03 |    1.449002e-05 |     2.242112e-15
 24 |   2.832291e-03 |    28.3229 |          MP+ |   3 |   2.844691e-03 |    1.240039e-05 |     6.044493e-16
 25 |   2.917183e-03 |    29.1718 |          MP+ |   3 |   2.928111e-03 |    1.092725e-05 |     1.165938e-15
 26 |   3.001446e-03 |    30.0145 |          MP+ |   3 |   3.011394e-03 |    9.947664e-06 |     5.895707e-16
 27 |   3.085200e-03 |    30.8520 |          MP+ |   3 |   3.094329e-03 |    9.129168e-06 |     6.407648e-16
 28 |   3.168547e-03 |    31.6855 |          MP+ |   3 |   3.177347e-03 |    8.800486e-06 |     4.212159e-16
 29 |   3.251565e-03 |    32.5157 |          MP+ |   3 |   3.260050e-03 |    8.484437e-06 |     3.550660e-16
 30 |   3.334315e-03 |    33.3432 |          MP+ |   3 |   3.342377e-03 |    8.061275e-06 |     4.538677e-16
  1 |   2.649304e-03 |    26.4930 |          MP+ |   4 |   2.206255e-03 |    4.430481e-04 |     1.008962e-15
  2 |   2.216463e-03 |    22.1646 |          MP+ |   4 |   2.212704e-03 |    3.758088e-06 |     1.137443e-15
  3 |   2.227693e-03 |    22.2769 |          MP+ |   4 |   2.223513e-03 |    4.179927e-06 |     1.730157e-15
  4 |   2.243258e-03 |    22.4326 |          MP+ |   4 |   2.238624e-03 |    4.634324e-06 |     2.962208e-15
  5 |   2.263084e-03 |    22.6308 |          MP+ |   4 |   2.257960e-03 |    5.123893e-06 |     2.270583e-15
  6 |   2.287080e-03 |    22.8708 |          MP+ |   4 |   2.281428e-03 |    5.651994e-06 |     1.961747e-15
  7 |   2.315138e-03 |    23.1514 |          MP+ |   4 |   2.308915e-03 |    6.222914e-06 |     7.424826e-15
  8 |   2.347143e-03 |    23.4714 |          MP+ |   4 |   2.340301e-03 |    6.842103e-06 |     3.655558e-15
  9 |   2.382968e-03 |    23.8297 |          MP+ |   4 |   2.375451e-03 |    7.516471e-06 |     1.911561e-15
 10 |   2.422481e-03 |    24.2248 |          MP+ |   4 |   2.414227e-03 |    8.254794e-06 |     4.228070e-15
 11 |   2.465551e-03 |    24.6555 |          MP+ |   4 |   2.456483e-03 |    9.068226e-06 |     1.789482e-15
 12 |   2.512047e-03 |    25.1205 |          MP+ |   4 |   2.502076e-03 |    9.970974e-06 |     3.745170e-15
 13 |   2.561840e-03 |    25.6184 |          MP+ |   4 |   2.550858e-03 |    1.098119e-05 |     1.099065e-15
 14 |   2.614811e-03 |    26.1481 |          MP+ |   4 |   2.602689e-03 |    1.212211e-05 |     6.725072e-16
 15 |   2.670852e-03 |    26.7085 |          MP+ |   4 |   2.657428e-03 |    1.342359e-05 |     2.561806e-15
 16 |   2.729865e-03 |    27.2987 |          MP+ |   4 |   2.714941e-03 |    1.492402e-05 |     2.279763e-15
 17 |   2.791771e-03 |    27.9177 |          MP+ |   4 |   2.775098e-03 |    1.667292e-05 |     3.210575e-15
 18 |   2.856507e-03 |    28.5651 |          MP+ |   4 |   2.837773e-03 |    1.873437e-05 |     3.071366e-15
 19 |   2.924028e-03 |    29.2403 |          MP+ |   4 |   2.902836e-03 |    2.119239e-05 |     9.289967e-16
 20 |   2.994309e-03 |    29.9431 |          MP+ |   4 |   2.970147e-03 |    2.416111e-05 |     4.417372e-15
 21 |   3.067332e-03 |    30.6733 |          MP+ |   4 |   3.039520e-03 |    2.781220e-05 |     3.079180e-15
 22 |   3.143081e-03 |    31.4308 |          MP+ |   4 |   3.110607e-03 |    3.247413e-05 |     2.094389e-15
 23 |   2.976560e-03 |    29.7656 |          MP+ |   4 |   3.009411e-03 |    3.285149e-05 |     3.783624e-15
 24 |   3.065658e-03 |    30.6566 |          MP+ |   4 |   3.094612e-03 |    2.895449e-05 |     2.555840e-15
 25 |   3.154770e-03 |    31.5477 |          MP+ |   4 |   3.179434e-03 |    2.466433e-05 |     4.841152e-15
 26 |   3.243459e-03 |    32.4346 |          MP+ |   4 |   3.264097e-03 |    2.063837e-05 |     1.205875e-15
 27 |   3.331449e-03 |    33.3145 |          MP+ |   4 |   3.348613e-03 |    1.716407e-05 |     1.865165e-15
 28 |   3.418622e-03 |    34.1862 |          MP+ |   4 |   3.432756e-03 |    1.413376e-05 |     7.569379e-16
 29 |   3.504980e-03 |    35.0498 |          MP+ |   4 |   3.517002e-03 |    1.202249e-05 |     1.252930e-15
 30 |   3.590594e-03 |    35.9059 |          MP+ |   4 |   3.600864e-03 |    1.027034e-05 |     1.658966e-15
  1 |  -4.651753e-04 |    -4.6518 |          MP- |   1 |  -4.605191e-04 |    4.656230e-06 |     1.103615e-14
  2 |  -4.944714e-04 |    -4.9447 |          MP- |   1 |  -4.885967e-04 |    5.874676e-06 |     5.903758e-15
  3 |  -5.434004e-04 |    -5.4340 |          MP- |   1 |  -5.317149e-04 |    1.168552e-05 |     7.084633e-15
  4 |  -6.086721e-04 |    -6.0867 |          MP- |   1 |  -5.865662e-04 |    2.210590e-05 |     1.015078e-14
  5 |  -4.764312e-04 |    -4.7643 |          MP- |   1 |  -6.502005e-04 |    1.737693e-04 |     1.516155e-14
  6 |  -5.596445e-04 |    -5.5964 |          MP- |   1 |  -7.203074e-04 |    1.606629e-04 |     4.428691e-15
  7 |  -8.647768e-04 |    -8.6478 |          MP- |   1 |  -9.070999e-04 |    4.232307e-05 |     5.299641e-15
  8 |  -9.581885e-04 |    -9.5819 |          MP- |   1 |  -9.912518e-04 |    3.306339e-05 |     1.121026e-14
  9 |  -1.051260e-03 |   -10.5126 |          MP- |   1 |  -1.074862e-03 |    2.360222e-05 |     5.094899e-15
 10 |  -1.142630e-03 |   -11.4263 |          MP- |   1 |  -1.157992e-03 |    1.536228e-05 |     5.488385e-15
 11 |  -1.231710e-03 |   -12.3171 |          MP- |   1 |  -1.240671e-03 |    8.960273e-06 |     4.150724e-15
 12 |  -1.318521e-03 |   -13.1852 |          MP- |   1 |  -1.322896e-03 |    4.375281e-06 |     2.131455e-15
 13 |  -1.403428e-03 |   -14.0343 |          MP- |   1 |  -1.404796e-03 |    1.367648e-06 |     1.383335e-15
 14 |  -1.486892e-03 |   -14.8689 |          MP- |   1 |  -1.486382e-03 |    5.102379e-07 |     5.622542e-16
 15 |  -1.569320e-03 |   -15.6932 |          MP- |   1 |  -1.567671e-03 |    1.648636e-06 |     4.843886e-15
 16 |  -1.651014e-03 |   -16.5101 |          MP- |   1 |  -1.648788e-03 |    2.226212e-06 |     1.059520e-15
 17 |  -1.732182e-03 |   -17.3218 |          MP- |   1 |  -1.729508e-03 |    2.674030e-06 |     9.209879e-16
 18 |  -1.812961e-03 |   -18.1296 |          MP- |   1 |  -1.810199e-03 |    2.762081e-06 |     2.079733e-15
 19 |  -1.893437e-03 |   -18.9344 |          MP- |   1 |  -1.890490e-03 |    2.947178e-06 |     1.620483e-15
 20 |  -1.973668e-03 |   -19.7367 |          MP- |   1 |  -1.970667e-03 |    3.001029e-06 |     1.624383e-15
 21 |  -2.053692e-03 |   -20.5369 |          MP- |   1 |  -2.050703e-03 |    2.988795e-06 |     8.568281e-16
 22 |  -2.133533e-03 |   -21.3353 |          MP- |   1 |  -2.130645e-03 |    2.887986e-06 |     1.087713e-15
 23 |  -2.213212e-03 |   -22.1321 |          MP- |   1 |  -2.210330e-03 |    2.881311e-06 |     1.579147e-15
 24 |  -2.292741e-03 |   -22.9274 |          MP- |   1 |  -2.289931e-03 |    2.809687e-06 |     7.862065e-16
 25 |  -2.372131e-03 |   -23.7213 |          MP- |   1 |  -2.369259e-03 |    2.872343e-06 |     4.640657e-16
 26 |  -2.451393e-03 |   -24.5139 |          MP- |   1 |  -2.448566e-03 |    2.826450e-06 |     4.735913e-16
 27 |  -2.530533e-03 |   -25.3053 |          MP- |   1 |  -2.527863e-03 |    2.670466e-06 |     7.617752e-16
 28 |  -2.609560e-03 |   -26.0956 |          MP- |   1 |  -2.606771e-03 |    2.789238e-06 |     3.994973e-16
 29 |  -2.688478e-03 |   -26.8848 |          MP- |   1 |  -2.685770e-03 |    2.708755e-06 |     5.955805e-16
 30 |  -2.767295e-03 |   -27.6729 |          MP- |   1 |  -2.764737e-03 |    2.557861e-06 |     1.132499e-15
  1 |  -8.948070e-04 |    -8.9481 |          MP- |   2 |  -8.903721e-04 |    4.434984e-06 |     1.048804e-14
  2 |  -9.102921e-04 |    -9.1029 |          MP- |   2 |  -9.050940e-04 |    5.198064e-06 |     1.275491e-14
  3 |  -9.364061e-04 |    -9.3641 |          MP- |   2 |  -9.290055e-04 |    7.400660e-06 |     7.992590e-15
  4 |  -9.724955e-04 |    -9.7250 |          MP- |   2 |  -9.614182e-04 |    1.107724e-05 |     1.068534e-14
  5 |  -1.017812e-03 |   -10.1781 |          MP- |   2 |  -1.001506e-03 |    1.630643e-05 |     6.549208e-15
  6 |  -1.071622e-03 |   -10.7162 |          MP- |   2 |  -1.048388e-03 |    2.323369e-05 |     5.078435e-15
  7 |  -1.497575e-03 |   -14.9758 |          MP- |   2 |  -1.496109e-03 |    1.465686e-06 |     2.956606e-15
  8 |  -1.547088e-03 |   -15.4709 |          MP- |   2 |  -1.545452e-03 |    1.635822e-06 |     2.623400e-15
  9 |  -1.601951e-03 |   -16.0195 |          MP- |   2 |  -1.599873e-03 |    2.078023e-06 |     1.905175e-15
 10 |  -1.661899e-03 |   -16.6190 |          MP- |   2 |  -1.659041e-03 |    2.857179e-06 |     1.564233e-15
 11 |  -1.726723e-03 |   -17.2672 |          MP- |   2 |  -1.722683e-03 |    4.039771e-06 |     4.177708e-15
 12 |  -1.535601e-03 |   -15.3560 |          MP- |   2 |  -1.577506e-03 |    4.190469e-05 |     8.453730e-15
 13 |  -1.627324e-03 |   -16.2732 |          MP- |   2 |  -1.662422e-03 |    3.509763e-05 |     2.710881e-15
 14 |  -1.719498e-03 |   -17.1950 |          MP- |   2 |  -1.746938e-03 |    2.743974e-05 |     4.639375e-15
 15 |  -1.810998e-03 |   -18.1100 |          MP- |   2 |  -1.831199e-03 |    2.020142e-05 |     1.439711e-15
 16 |  -1.901119e-03 |   -19.0112 |          MP- |   2 |  -1.914948e-03 |    1.382893e-05 |     1.216681e-15
 17 |  -1.989584e-03 |   -19.8958 |          MP- |   2 |  -1.998476e-03 |    8.891888e-06 |     2.692954e-15
 18 |  -2.076444e-03 |   -20.7644 |          MP- |   2 |  -2.081812e-03 |    5.367636e-06 |     9.975215e-16
 19 |  -2.161931e-03 |   -21.6193 |          MP- |   2 |  -2.164664e-03 |    2.732677e-06 |     8.349349e-16
 20 |  -2.246331e-03 |   -22.4633 |          MP- |   2 |  -2.247474e-03 |    1.143811e-06 |     1.259293e-15
 21 |  -2.329905e-03 |   -23.2990 |          MP- |   2 |  -2.329984e-03 |    7.972178e-08 |     1.620777e-15
 22 |  -2.412861e-03 |   -24.1286 |          MP- |   2 |  -2.412167e-03 |    6.940896e-07 |     2.603388e-15
 23 |  -2.495353e-03 |   -24.9535 |          MP- |   2 |  -2.494216e-03 |    1.136968e-06 |     6.891993e-16
 24 |  -2.577486e-03 |   -25.7749 |          MP- |   2 |  -2.576114e-03 |    1.371545e-06 |     7.317686e-16
 25 |  -2.659335e-03 |   -26.5933 |          MP- |   2 |  -2.657906e-03 |    1.428955e-06 |     6.636796e-16
 26 |  -2.740949e-03 |   -27.4095 |          MP- |   2 |  -2.739378e-03 |    1.571362e-06 |     9.543200e-16
 27 |  -2.822363e-03 |   -28.2236 |          MP- |   2 |  -2.820745e-03 |    1.618695e-06 |     1.942868e-16
 28 |  -2.903601e-03 |   -29.0360 |          MP- |   2 |  -2.902015e-03 |    1.585518e-06 |     3.546638e-16
 29 |  -2.984678e-03 |   -29.8468 |          MP- |   2 |  -2.982965e-03 |    1.713243e-06 |     1.016876e-15
 30 |  -3.065610e-03 |   -30.6561 |          MP- |   2 |  -3.064047e-03 |    1.562352e-06 |     1.459961e-15
  1 |  -1.769857e-03 |   -17.6986 |          MP- |   3 |  -1.766623e-03 |    3.233150e-06 |     6.037172e-15
  2 |  -1.777853e-03 |   -17.7785 |          MP- |   3 |  -1.775082e-03 |    2.770342e-06 |     3.766309e-15
  3 |  -1.791314e-03 |   -17.9131 |          MP- |   3 |  -1.788954e-03 |    2.359929e-06 |     3.641555e-15
  4 |  -1.810137e-03 |   -18.1014 |          MP- |   3 |  -1.808135e-03 |    2.002659e-06 |     2.943432e-15
  5 |  -1.834182e-03 |   -18.3418 |          MP- |   3 |  -1.832482e-03 |    1.700546e-06 |     2.991567e-15
  6 |  -1.863282e-03 |   -18.6328 |          MP- |   3 |  -1.861825e-03 |    1.457142e-06 |     4.137071e-15
  7 |  -1.897249e-03 |   -18.9725 |          MP- |   3 |  -1.895971e-03 |    1.277947e-06 |     3.775364e-15
  8 |  -1.935882e-03 |   -19.3588 |          MP- |   3 |  -1.934711e-03 |    1.171008e-06 |     2.798961e-15
  9 |  -1.978975e-03 |   -19.7897 |          MP- |   3 |  -1.977827e-03 |    1.147730e-06 |     3.409148e-15
 10 |  -2.026324e-03 |   -20.2632 |          MP- |   3 |  -2.025100e-03 |    1.223958e-06 |     1.507797e-15
 11 |  -2.077738e-03 |   -20.7774 |          MP- |   3 |  -2.076316e-03 |    1.421330e-06 |     3.569414e-15
 12 |  -2.133040e-03 |   -21.3304 |          MP- |   3 |  -2.131271e-03 |    1.768827e-06 |     9.151413e-16
 13 |  -2.192083e-03 |   -21.9208 |          MP- |   3 |  -2.189778e-03 |    2.304154e-06 |     9.139218e-16
 14 |  -2.254746e-03 |   -22.5475 |          MP- |   3 |  -2.251672e-03 |    3.074009e-06 |     4.145417e-15
 15 |  -2.320949e-03 |   -23.2095 |          MP- |   3 |  -2.316818e-03 |    4.130851e-06 |     1.441211e-15
 16 |  -2.390645e-03 |   -23.9065 |          MP- |   3 |  -2.385124e-03 |    5.520702e-06 |     3.335302e-15
 17 |  -2.463817e-03 |   -24.6382 |          MP- |   3 |  -2.456568e-03 |    7.249010e-06 |     1.679032e-15
 18 |  -2.297725e-03 |   -22.9773 |          MP- |   3 |  -2.333737e-03 |    3.601174e-05 |     2.109812e-15
 19 |  -2.389200e-03 |   -23.8920 |          MP- |   3 |  -2.418778e-03 |    2.957768e-05 |     2.383951e-15
 20 |  -2.480468e-03 |   -24.8047 |          MP- |   3 |  -2.503461e-03 |    2.299349e-05 |     1.003414e-15
 21 |  -2.570861e-03 |   -25.7086 |          MP- |   3 |  -2.587747e-03 |    1.688625e-05 |     1.324320e-15
 22 |  -2.660012e-03 |   -26.6001 |          MP- |   3 |  -2.671868e-03 |    1.185684e-05 |     3.383179e-15
 23 |  -2.747825e-03 |   -27.4783 |          MP- |   3 |  -2.755842e-03 |    8.016159e-06 |     9.497454e-16
 24 |  -2.834397e-03 |   -28.3440 |          MP- |   3 |  -2.839426e-03 |    5.029481e-06 |     8.747714e-16
 25 |  -2.919914e-03 |   -29.1991 |          MP- |   3 |  -2.922876e-03 |    2.961860e-06 |     2.399107e-16
 26 |  -3.004587e-03 |   -30.0459 |          MP- |   3 |  -3.006202e-03 |    1.614534e-06 |     9.593106e-16
 27 |  -3.088602e-03 |   -30.8860 |          MP- |   3 |  -3.089147e-03 |    5.446254e-07 |     6.812668e-16
 28 |  -3.172112e-03 |   -31.7211 |          MP- |   3 |  -3.171987e-03 |    1.247457e-07 |     3.459960e-16
 29 |  -3.255229e-03 |   -32.5523 |          MP- |   3 |  -3.254697e-03 |    5.317130e-07 |     5.304623e-16
 30 |  -3.338037e-03 |   -33.3804 |          MP- |   3 |  -3.337285e-03 |    7.519206e-07 |     6.298766e-16
  1 |  -2.209223e-03 |   -22.0922 |          MP- |   4 |  -2.206553e-03 |    2.670369e-06 |     2.216498e-15
  2 |  -2.215665e-03 |   -22.1566 |          MP- |   4 |  -2.213301e-03 |    2.363502e-06 |     4.143966e-15
  3 |  -2.226496e-03 |   -22.2650 |          MP- |   4 |  -2.224412e-03 |    2.083693e-06 |     6.199882e-15
  4 |  -2.241661e-03 |   -22.4166 |          MP- |   4 |  -2.239830e-03 |    1.831031e-06 |     2.109647e-15
  5 |  -2.261086e-03 |   -22.6109 |          MP- |   4 |  -2.259480e-03 |    1.606009e-06 |     1.721296e-15
  6 |  -2.284678e-03 |   -22.8468 |          MP- |   4 |  -2.283269e-03 |    1.409581e-06 |     1.678673e-15
  7 |  -2.312331e-03 |   -23.1233 |          MP- |   4 |  -2.311088e-03 |    1.243250e-06 |     4.316130e-15
  8 |  -2.343926e-03 |   -23.4393 |          MP- |   4 |  -2.342817e-03 |    1.109193e-06 |     5.070213e-15
  9 |  -2.379336e-03 |   -23.7934 |          MP- |   4 |  -2.378326e-03 |    1.010438e-06 |     2.006019e-15
 10 |  -2.418429e-03 |   -24.1843 |          MP- |   4 |  -2.417477e-03 |    9.511019e-07 |     1.225488e-15
 11 |  -2.461068e-03 |   -24.6107 |          MP- |   4 |  -2.460131e-03 |    9.367102e-07 |     5.494932e-15
 12 |  -2.507121e-03 |   -25.0712 |          MP- |   4 |  -2.506147e-03 |    9.746213e-07 |     6.962732e-16
 13 |  -2.556459e-03 |   -25.5646 |          MP- |   4 |  -2.555384e-03 |    1.074584e-06 |     1.670471e-15
 14 |  -2.608958e-03 |   -26.0896 |          MP- |   4 |  -2.607709e-03 |    1.249452e-06 |     4.051592e-15
 15 |  -2.664507e-03 |   -26.6451 |          MP- |   4 |  -2.662991e-03 |    1.516070e-06 |     1.242397e-15
